===================================================================================================================
                                         ОТЧЕТ: СПИСОК ПОГИБШИХ ПЕРСОНАЖЕЙ                                         
===================================================================================================================
  id                                        имя                            дом                культура пол  возраст
   4                                Aemma Arryn                    House Arryn              Неизвестно Жен     23.0
   7                           Valarr Targaryen                House Targaryen                Valyrian Муж     26.0
   8                        Viserys I Targaryen                       Нет дома              Неизвестно Муж     27.0
   9                                    Wilbert                       Нет дома              Неизвестно Муж     27.0
  11                                       Will                  Night's Watch              Неизвестно Муж     27.0
  26                           Willow Witch-eye                       Нет дома               Free Folk Жен     27.0
  27                                       Woth                       Нет дома              Неизвестно Муж     27.0
  30                                Wyl (guard)                    House Stark                Northmen Жен     27.0
  31                               Wyl Waynwood                 House Waynwood              Неизвестно Жен     27.0
  42                                Young Henly                  Night's Watch              Неизвестно Муж     59.0
  51                          Joffrey Baratheon                       Нет дома              Неизвестно Муж     27.0
  52                            Laenor Velaryon                 House Velaryon                Valyrian Муж     26.0
  53                           Leobald Tallhart                 House Tallhart                Northmen Муж     27.0
  54                         Maegor I Targaryen                       Нет дома              Неизвестно Муж     27.0
  56                           Naerys Targaryen                House Targaryen                Valyrian Жен    100.0
  59                            Quellon Greyjoy                  House Greyjoy                Ironborn Муж     27.0
  60                          Quentyn Blackwood                House Blackwood              Неизвестно Жен     27.0
  66                                      Quort                       wildling              Неизвестно Муж     14.0
  67                                       Qyle                       Нет дома              Неизвестно Муж     27.0
  73                                       Rast                  Night's Watch              Неизвестно Муж     27.0
  81                                  Red Rolfe                  House Greyjoy              Неизвестно Муж     27.0
  85                          Rhaegel Targaryen                House Targaryen                Valyrian Муж     42.0
  86      Rhaena Targaryen (daughter of Daemon)                House Targaryen              Неизвестно Жен    100.0
  87   Rhaena Targaryen (daughter of Aegon III)                House Targaryen                Valyrian Жен    100.0
  88                          Rhaenys Targaryen                House Targaryen                Valyrian Жен     35.0
  89    Rhaenys Targaryen (daughter of Rhaegar)                House Targaryen              Неизвестно Жен      3.0
  91      Rhaenys Targaryen (daughter of Aemon)                House Targaryen                Valyrian Жен     55.0
  93                             Richard Farrow                   House Farrow              Неизвестно Жен     27.0
 102                                 Robb Stark                       Нет дома              Неизвестно Муж     27.0
 110                         Roger of Pennytree                       Нет дома              Неизвестно Муж     27.0
 128                                      Rowan                       Нет дома               Free folk Муж     27.0
 130                                   Runciter                       Нет дома              Неизвестно Муж     27.0
 136                                      Ryles                  Night's Watch              Неизвестно Жен     27.0
 141                                     Sallor                     Stormcrows                Qartheen Муж     27.0
 165                                   Softfoot                  Night's Watch              Неизвестно Муж     27.0
 166                 Spotted Pate of Maidenpool                  Night's Watch              Неизвестно Муж     27.0
 167                                     Squint                  House Greyjoy              Неизвестно Жен     27.0
 168                                   Squirrel                       Нет дома               Free Folk Жен     27.0
 170                         Stafford Lannister                House Lannister               Westerman Муж     53.0
 175                               Stone Thumbs                       Нет дома               Free Folk Жен     27.0
 178                                      Sylas                  House Greyjoy              Неизвестно Жен     27.0
 192                                    Thistle                       Нет дома               Free Folk Жен     27.0
 201                                     Todric                       Нет дома              Неизвестно Муж     27.0
 204                             Tommard Heddle                   House Heddle              Неизвестно Муж     27.0
 207                                   Tothmure                       Нет дома              Неизвестно Муж     27.0
 209                                     Tregar                House Lannister              Неизвестно Жен     27.0
 214                          Tristifer IV Mudd                       Нет дома              Неизвестно Муж     27.0
 222                                Ulf the Ill                  House Greyjoy                Ironborn Жен     27.0
 234                            Uthor Underleaf                       Нет дома              Неизвестно Муж    100.0
 235                                        Utt               Brave Companions              Неизвестно Муж     27.0
 237                                      Varly                    House Stark                northmen Жен     27.0
 251               Walder Frey (son of Merrett)                     House Frey              Неизвестно Муж      9.0
 252                                     Wallen                  Night's Watch              Неизвестно Жен     27.0
 254                              Walys Flowers                       Нет дома                   Reach Муж     27.0
 262                                       Watt                  Night's Watch              Неизвестно Муж     27.0
 268                                    Rafford                  House Clegane              Неизвестно Муж     27.0
 273                           Tanda Stokeworth               House Stokeworth              Неизвестно Жен     27.0
 278                               Addam Osgrey                   House Osgrey              Неизвестно Муж     13.0
 280                Aegon Frey (son of Stevron)                     House Frey              Неизвестно Муж     50.0
 281                          Aegon I Targaryen                       Нет дома              Неизвестно Муж     27.0
 282                         Aegon II Targaryen                       Нет дома              Неизвестно Муж     27.0
 283                         Aegon IV Targaryen                       Нет дома              Неизвестно Муж     27.0
 285                        Aegon III Targaryen                       Нет дома                Valyrian Муж     27.0
 286       Aegon Targaryen (son of Jaehaerys I)                House Targaryen                Valyrian Жен    100.0
 287           Aegon Targaryen (son of Aenys I)                House Targaryen                Valyrian Муж     17.0
 288           Aegon Targaryen (son of Rhaegar)                House Targaryen                Valyrian Муж      2.0
 290                          Aenys I Targaryen                       Нет дома              Неизвестно Муж     27.0
